comp_id,title
1,Ambition Box
28,Flipkart
29,Snapdeal
30,Goldman Sachs
31,Housing
32,Ola Cabs
33,WebEngage
35,Mckinsey
36,Deutsche Bank
37,ITC Limited
38,Boston Consulting Group
39,Futures First
40,American Express
41,Infosys
42,Tata Consultancy Services
43,Cognizant
44,Wipro
45,Deloitte
46,KPMG
47,Hindustan Unilever Limited (HUL)
48,Credit Suisse
49,Capital One
50,World Quant
54,Myntra
55,Wells Fargo
56,Vodafone
57,Citicorp
58,Nomura
60,JP Morgan Chase
63,Verity Knowledge Solutions
64,Flow Traders
66,Wipro Consumer Care & Lighting
67,Price Waterhouse Coopers
70,Larsen and Toubro
71,Urban Ladder
72,Sabre Corporation
73,LatentView Analytics
74,Schlumberger
76,Microsoft
77,Google
79,Fractal Analytics
82,Oracle
83,Crisil
84,Airbus
88,HCL Technologies
89,Samsung
90,Honeywell
91,Bosch
92,HSBC
93,Facebook
94,TSMC [Taiwan Semiconductor Manufacturing Company]
95,Capgemini
99,Honda
100,Target Corporation
101,HT Media
105,Synopsys
106,Edelweiss
107,Caterpillar Inc
108,Oyo Rooms
109,Axtria
112,Optiver
113,Linkedin
114,Amazon
116,Visa
117,Altair Engineering
118,ServiceNow
120,Zydus Cadila
124,Mu Sigma
125,Texas Instruments
128,Cadbury
129,SRM INFOTECH
130,Shell
134,ICICI Bank
136,IBM
137,HDFC Bank
139,General Motors
141,Bain & Company
142,Tata Motors
144,UnitedHealth Group
145,Indian Oil Corporation { IOCL }
146,EXL Service
148,247 Innovation Labs
152,Bharat Heavy Electricals
153,MRF Limited
154,Cisco Systems
156,Nvidia
157,Indian Space Research Organization
158,Orbees Medical
159,PayPal
160,Philips
165,Qualcomm
166,Renault-Nissan
167,Reliance Industries Limited
169,Intel
170,Alcazar Capital
176,Citrix Systems
177,Walmart Labs
179,Feedback Infra
180,ZS Associates
181,Infogain
183,Atkins
187,Valyoo Technologies
188,Dar Al-Handasah
189,Essex Lake Group
192,Systra MVA Consulting
193,Darashaw
195,Global Analytics
196,Broadcom
199,Arup Group Limited
200,Aspire Systems
204,Xilinx
207,Oceaneering International
208,Rolls-Royce
210,Finisar
212,Analytics Quotient
215,Dr. Reddys Laboratories
217,Idea
218,Shapoorji Pallonji Group
219,Fluor Corporation
223,Freescale Semiconductor
225,Epic Systems
226,BankBazaar
227,Morgan Stanley
228,Mahindra & Mahindra
229,Quality Engineering and Software Technologies
233,Hero MotoCorp
234,Directi
235,NTPC Limited
238,Jindal Steel and Power
239,Exxon Mobil
241,Tejas Networks
242,Fortune Global
243,Virtusa
244,Bajaj Auto
245,Novartis AG
246,Strand Life Sciences
247,Fair Issac Corporation
248,Ericsson
249,ANZ
250,Stryker Corporation
252,Ashok Leyland
261,Oil & Natural Gas Corporation
265,Jones Lang LaSalle
267,KLA-Tencor
269,Turbo Energy Limited
270,Alstom India
271,eGain Corporation
272,Cosmic Circuits
273,Accenture
274,Opera Solutions
278,Hyundai Motor Company
280,Hindustan Aeronautics Limited [ HAL ]
281,iRunway
283,Indian Navy
284,MITSUBISHI MOTORS
285,Tower Research Capital
286,Adobe Systems
289,Symantec Corporation
291,SPRINKLR SOLUTIONS
295,TATA Steel
296,Tata Power
298,Genpact
300,Amadeus Software Labs India
302,Polaris Consulting & Services Limited
303,IBM GBS
304,John Deere
305,IVY Comptech
306,FMC Technologies
307,Foster Wheeler Ltd.
308,LG Electronics India
310,Agilent Technologies
311,Grey B
313,Mentor Graphics
317,Srinivasa Constructions Ltd
318,CA TECHNOLOGY
319,DE Shaw
324,Works Applications
332,Tata Technologies
336,NetApp
341,CenturyLink
342,"IFFCO - KSEZ, NELLORE"
344,Protiviti
345,UBS
346,Asian Paints
349,Johnson Matthey
350,HP (Hewlett Packard)
351,Tech Mahindra
353,IMS Health
354,ABB
356,Thermax
364,Oliver Wyman
367,Lakshmikumaran & Sridharan Attorneys
368,Amdocs
370,Crompton Greaves
372,GMR Infrastructure
374,Godrej Industries Ltd
377,MediaTek
378,Biocon
379,Michelin
381,Subros Ltd
382,Samsung R&D Institute
387,Bank of America Corporation
389,Thornton Tomasetti
390,Cyient
391,Maruti Suzuki India Limited
392,SRF Limited
395,Nielsen
396,CBRE Group
398,JK Tyres
400,Girnar Software
402,Sokrati
403,Applied Materials
405,Nestle
408,A.T. Kearney (AT Kearney)
417,SanDisk
422,Persistent Systems
423,Barclays Technology Centre
426,P&G
427,Royal Bank of Scotland
430,British Gas
432,Adani Power
433,ZTE Telecom
434,USHA International
441,Syntel
448,Sapient Corporation
451,Petrofac
456,ADP India
462,Informatica
464,Think & Learn
466,JSW Steel
468,ThoughtWorks
469,IBM ISL
471,Shopclues
472,CommVault Systems
473,Seagate
475,CGI
477,Neilsoft
479,Dolcera
483,Mindtree
487,IRIS Business Services
490,Grail Research
492,Essar Steel
493,Vedanta Group
494,HÃƒÂ¤fele Group
497,3DPLM Software Solutions Limited
498,Fiat India Automobiles
501,IGATE
503,Torry Harris
505,Triveni Turbines
506,Johnson Controls
508,Reliance Jio Infocomm
510,ZOMATO
511,SAP Labs
512,Affine Analytics
515,Dell
516,XL Dynamics
517,Emami
518,Teradata
519,Verizon Communications
521,Capillary Technologies
525,VMware
526,Magneti Marelli
527,Nagarro
532,Diamond Management & Technology Consultants
533,Naukri
534,Aspiring Minds
535,The Blackstone Group
536,Prime Focus Technologies
537,Kony
538,Nucleus Software
539,NTT DATA
540,Trident Group
544,Uurmi Systems
545,Drishti Soft Solutions
548,Aricent
551,Delhivery
552,Bhushan Steel
553,Aditya Birla Chemicals
556,Havells
557,Tata Consulting Engineers
558,VA Tech Wabag
559,Ashiana Housing
560,Fidelity Investments
562,Axis Bank
564,Samsung Engineering
565,PayTM
566,Indian Army
568,BNP Paribas
571,Hella India Automotive
572,Jindal Stainless Limited
575,Tata Elxsi
577,Cargill India
579,Mphasis
580,Simplex Infrastructures
583,Nagarjuna Construction Company
586,RITES
588,Infibeam
595,Yatra
602,BigBasket
608,Swiggy
612,Zimmber
614,FoodPanda
616,Box8
617,Toppr
622,CouponDunia
623,MySmartPrice
630,Goibibo
632,Tracxn
633,BookMyShow
639,Grofers
640,Hike
643,Droom
644,Stayzilla
645,Tiger Analytics
649,Diebold
650,Xoriant
655,ICICI Lombard
662,Sundaram-Clayton
663,Cypress Semiconductor
665,TCS Innovation Labs
666,3i Infotech
669,Unisys Global Services India
674,Cybage
677,Shahi Exports
680,Delhi Metro Rail Corporation
681,99acres.com
682,Vizag Steel Plant
684,PepsiCo
686,Exide Industries
691,Hindalco
692,Roots Analysis
693,Honda R&D
694,Siemens
695,Power2sme
696,Nutanix
698,iNautix Technologies
699,Xerox
701,TEKsystems
703,L&T Infotech
704,Incture Technologies
706,Voltas
707,Groupon Nearbuy
711,Videocon
712,Verizon Data Services
713,CRMnext
715,Factset
2221,GEP
2226,EY
2228,Nokia
2230,Thomson Reuters
2232,Aon Hewitt
2234,CapitalVia
2236,Huawei Technologies
2237,WNS
2238,HCL Infosystems
2241,State Bank of India
2242,EMC
2243,Cybage Software
2244,Bharti Airtel
2245,KPIT Technologies
2247,GlobalLogic
2248,NIIT Technologies
2249,eClerx
2250,UST Global
2251,Sutherland Global Services
2252,ITC Infotech
2255,Ness Technologies
2256,Altisource
2257,Synechron
2258,Juniper Networks
2260,JDA Software
2263,Birlasoft
2264,Fiserv
2266,L&T Technology Services
2267,Hexaware Technologies
2268,Convergys
2269,Tata Communications
2274,Citibank
2275,CSS Corporation
2278,Atos
2279,Akamai
2286,ValueLabs
2287,Kotak Mahindra
2292,Samsung Noida Lab
2296,Scope International
2300,Info Edge
2303,Zoho
2306,FIS
2308,MAQ Software
2309,Mercedes-Benz Research and Development India
2315,Standard Chartered Bank
2316,[24]7
2317,Cvent
2321,Cipla
2324,Cerner
2326,Hinduja Global Solutions
2327,The Times of India
2329,Jaro Education
2330,EFI
2331,Barclays
2333,InterGlobe Technologies
2337,Geometric
2338,Bank of Baroda
2344,HDFC Standard Life Insurance
2350,Indiabulls
2353,SBI Life Insurance Company
2354,Ciber
2359,Lodha
2363,HARMAN
2366,Tally Solutions
2373,Marico Limited
2377,ExportersIndia
2378,Fastenal
2381,The Linde Group
2399,SynapseIndia
2403,Tata AIG General Insurance
2408,GETIT Infoservices PVT LTD
2444,Samvardhana Motherson
2454,Novartis India
2455,Godrej Consumer Products
2483,InnovAccer
2499,Wind World
2511,Janalakshmi Financial Services
2518,Mahindra Logistics
2528,MetaDesign Solutions
2537,Aarvee Associates
2543,Jet Airways
2545,Tesco
2546,Birla Sun Life Insurance
2550,National Instruments
2551,Vedanta Resources
2552,Bank of India
2553,The Smart Cube
2557,Sify
2560,JustDial
2563,Siemens PLM Software
2567,Societe Generale Global Solution Centre
2568,Pubmatic
2573,Sitel
2575,Shapoorji Pallonji & Co
2576,Power Grid Corporation of India
2578,Concentrix
2579,The Jaypee Group
2580,Taj Group of Hotels
2595,Colan Infotech
2596,Annik Technologies
2601,Finolex Cables
2604,Reliance Life Sciences
2612,JMC Projects
2625,Deepak Nitrite Limited
2693,Luthra & Luthra Law Offices
2772,Varma & Varma
2781,Saraswat Bank
2813,Hindustan Coca Cola Beverages P
2818,Chiripal Group
2849,Deccan Herald
