user_id,comp_id,value
1000947644.15072,1,1
1001770164.15065,291088,1
1001770164.15065,565,1
1002208603.15064,144,1
1002208603.15064,539,1
1002309601.15071,10285,1
1002309601.15071,225,1
1002732057.15067,464,1
1003640520.15065,114,1
1003640520.15065,565,1
1004977809.15066,2518,1
1004977809.15066,5877,1
1005755929.15066,200,1
1005755929.15066,273,1
1006543020.15071,152560,1
1006543020.15071,273,1
1006543020.15071,42,1
1006543020.15071,43,1
1006543020.15071,44,1
1008586085.15068,30,1
1008586085.15068,40,1
1008586085.15068,48,1
100878396.150669,46,1
1009035471.15052,154960,1
1009035471.15052,4612,1
1010214205.1507,29,1
1010214205.1507,114,1
1010214205.1507,77,1
1010214205.1507,93,1
1011615908.15066,354,1
1011615908.15066,3811,1
1011615908.15066,382,1
1011615908.15066,74,1
1011759408.15059,304,1
1012938640.15071,154744,1
1012938640.15071,160529,1
1013993089.1507,142,1
1013993089.1507,70,1
1014027821.1507,42,1
1014538999.15066,114,1
1014538999.15066,91,1
1014810950.15059,114,1
1014810950.15059,217666,1
1014810950.15059,45,1
1014810950.15059,95,1
1014926738.15068,680,1
10154207.1507035,290947,1
10154207.1507035,441,1
1015753694.15068,45,1
1015753694.15068,525,1
1015846498.15066,114,1
1015846498.15066,565,1
1016171982.15067,28,1
1016171982.15067,475,1
1016171982.15067,511,1
1016359359.1507,134,1
1017499271.15068,41,1
101784352.15067,2326,1
101784352.15067,42,1
101784352.15067,562,1
1018038614.15009,294186,1
1018038614.15009,464,1
1018075797.15071,2279,1
1019287793.15067,301894,1
1019287793.15067,116,1
1019287793.15067,136,1
1019287793.15067,42,1
1020259388.15068,42,1
1020259388.15068,213661,1
1020736335.15072,432,1
1021592597.15031,48,1
1022164920.15066,4964,1
1023088884.15067,351,1
1023088884.15067,114,1
1023708430.15068,137,1
1023708430.15068,483,1
1024165990.1507,248,1
1024165990.1507,95,1
1024543074.15065,1,1
1024543074.15065,516,1
1025371076.15069,114,1
1025371076.15069,351,1
1026027666.15071,9918,1
1026514588.1507,1,1
1026514588.1507,248,1
1026514588.1507,2578,1
1027344399.15021,92,1
1027344399.15021,95,1
1027344399.15021,144,1
1027613373.15071,441,1
1028451024.15067,114,1
1028451024.15067,273,1
1028451024.15067,32,1
1028451024.15067,77,1
1029027220.15017,154964,1
1029027220.15017,200728,1
1029650754.1507,273,1
1029650754.1507,28,1
1029650754.1507,77,1
1030089519.15039,146,1
1030089519.15039,4522,1
1030089519.15039,109,1
1030089519.15039,2454,1
1030956468.1507,157113,1
1030956468.1507,4360,1
1030956468.1507,99,1
1031196090.15066,142,1
1031196090.15066,201731,1
1031196090.15066,93,1
1031556762.15071,298,1
1031556762.15071,77,1
1031962524.15067,644,1
1032327648.14877,114,1
1032327648.14877,45,1
1032405698.1507,41,1
1032405698.1507,42,1
1032405698.1507,45,1
1032491245.15069,280149,1
1032491245.15069,351,1
1032491245.15069,42,1
1033307004.15066,227,1
1033307004.15066,273,1
1033307004.15066,298,1
1033307004.15066,30,1
1033307004.15066,351,1
1033307004.15066,42,1
1033307004.15066,4836,1
1033307004.15066,525,1
1033307004.15066,565,1
1033307004.15066,76,1
1033828889.15071,351,1
1033828889.15071,41,1
1033828889.15071,43,1
1033828889.15071,44,1
1034173234.15038,39,1
1034179736.15068,273,1
103627968.150662,2226,1
103627968.150662,288712,1
103627968.150662,39,1
1036387876.15069,142,1
1036387876.15069,233,1
103688264.150373,114,1
103688264.150373,41,1
103688264.150373,43,1
103688264.150373,77,1
1036994788.1507,152564,1
1036994788.1507,353,1
1038201219.15067,42,1
103883910.150701,273,1
103883910.150701,298,1
1039063370.15071,114,1
1039063370.15071,273,1
1039356852.15069,2551,1
1039356852.15069,4572,1
1039356852.15069,493,1
1039654032.15025,287491,1
1039654032.15025,391,1
1039654032.15025,241620,1
1041544406.15067,137,1
1041544406.15067,2781,1
1042185910.15067,562,1
1042185910.15067,293137,1
1042185910.15067,330281,1
1042185910.15067,91,1
1042185910.15067,48,1
1042185910.15067,82,1
1042486888.1507,114,1
1042486888.1507,41,1
1042682268.15013,169,1
1042682268.15013,91,1
1044401858.15068,134,1
1044401858.15068,17368,1
1044856019.15048,136,1
1044856019.15048,42,1
1045366158.15065,77,1
1045816906.15058,48,1
1045816906.15058,112,1
1045816906.15058,30,1
1045816906.15058,50,1
1046196460.15072,273,1
1046196460.15072,42,1
1046471568.15068,28,1
1046471568.15068,77,1
1047041628.15071,49,1
1047955457.1507,464,1
1047955457.1507,70,1
1049391735.15068,180,1
1050462048.15065,351,1
1050533514.15069,283924,1
1050533514.15069,44,1
1050553030.15071,12568,1
1050553030.15071,28,1
1050553030.15071,37,1
1050751614.15004,165,1
1050751614.15004,285,1
1050863717.15068,41,1
1052886541.15026,64,1
1053195263.15069,137,1
1053195263.15069,562,1
1054691290.14987,70,1
1054733020.1507,328755,1
1054733020.1507,34766,1
105503760.150342,298630,1
105503760.150342,558,1
105503760.150342,82,1
1055137143.14982,44,1
1055759412.15066,244,1
1056015053.15065,285527,1
1056015053.15065,296684,1
1056015053.15065,300992,1
1056015053.15065,311423,1
1056813635.15053,74,1
1056813635.15053,37236,1
1056813635.15053,539,1
1057661262.15065,3536,1
1059102313.15067,37,1
1060502689.15069,70,1
1060602368.15067,4352,1
1060602368.15067,44,1
1060602368.15067,142,1
1060602368.15067,2511,1
1061394732.15026,244374,1
1061394732.15026,279570,1
1061394732.15026,33408,1
1061394732.15026,378,1
1061394732.15026,5977,1
106191794.150476,179,1
1062111859.15066,1,1
1062111859.15066,167,1
1062111859.15066,42,1
1062111859.15066,19053,1
1062111859.15066,283765,1
1062111859.15066,368,1
1062111859.15066,694,1
1062113939.15071,42,1
1062113939.15071,88,1
1062126867.15068,44,1
1062126867.15068,91,1
1062680792.15004,152631,1
1062680792.15004,158,1
1062680792.15004,92,1
1062858143.15068,42,1
1062951051.15066,441,1
1063561435.15065,42,1
1063561435.15065,77,1
1063674233.15069,42,1
1063674233.15069,44,1
1063838275.15066,2578,1
1063838275.15066,47,1
1063838275.15066,101,1
1063838275.15066,108,1
1063838275.15066,114,1
1063838275.15066,12035,1
1063838275.15066,12590,1
1063838275.15066,148,1
1063838275.15066,169,1
1063838275.15066,2251,1
1063838275.15066,28,1
1063838275.15066,288712,1
1063838275.15066,3665,1
1063838275.15066,3698,1
1063838275.15066,37286,1
1063838275.15066,395,1
1063838275.15066,4053,1
1063838275.15066,5954,1
1063838275.15066,83,1
1063838275.15066,8906,1
1063838275.15066,9698,1
1063893338.15071,351,1
1063893338.15071,42,1
1063893338.15071,44,1
1064233321.15071,12340,1
1064233321.15071,3381,1
1064233321.15071,42,1
1064233321.15071,693,1
1064697759.1507,44,1
1064697759.1507,77,1
1065755444.15068,273,1
1065755444.15068,285854,1
1065755444.15068,3838,1
1065755444.15068,4089,1
1065777513.15056,703,1
1066692202.15069,137,1
1066692202.15069,201366,1
1066692202.15069,297882,1
1066803697.15068,228,1
1067722257.15067,142,1
1067722257.15067,351,1
1067943766.15068,391,1
1067943766.15068,70,1
1068287834.1507,152935,1
1068287834.1507,2237,1
1068287834.1507,351,1
1068287834.1507,42,1
1068287834.1507,70,1
1068337739.15052,114,1
1068337739.15052,273,1
1068337739.15052,28,1
1068875409.15071,475,1
1069217932.15071,70,1
1069217932.15071,114,1
1069217932.15071,273,1
1069217932.15071,42,1
1069926470.1507,114,1
1069926470.1507,41,1
1069982139.1507,284396,1
1069982139.1507,307641,1
1071072621.15071,92,1
1071537111.15068,12499,1
1071537111.15068,36,1
1071752327.15071,12386,1
1072504045.15071,12178,1
1072504045.15071,2278,1
1072900665.15068,12489,1
1072900665.15068,30,1
1072900665.15068,368,1
1073086609.15069,137,1
1073086609.15069,70,1
1073159270.1502,395,1
1073159270.1502,155832,1
1074607851.15071,12408,1
1074607851.15071,2251,1
1074607851.15071,2267,1
1074607851.15071,2573,1
1074607851.15071,57,1
1074607851.15071,235,1
1074607851.15071,286512,1
1074607851.15071,12059,1
1074651739.15065,28793,1
1074651739.15065,324059,1
1074651739.15065,4366,1
1074651739.15065,70,1
1075258332.15049,152635,1
1075258332.15049,4444,1
1076494547.15068,3838,1
1076494547.15068,9012,1
1076600025.15069,294507,1
1076600025.15069,41,1
1078069099.15066,114,1
1078069099.15066,201918,1
1078069099.15066,44,1
1078288860.15068,30,1
1079164943.1507,42,1
1079321087.15067,391,1
1079321087.15067,6141,1
1080576992.1507,39,1
1080645070.15065,2264,1
1080645070.15065,165,1
1080645070.15065,41,1
1080961187.1507,114,1
1080961187.1507,42,1
1080961187.1507,539,1
1080961187.1507,562,1
1080961187.1507,77,1
1081282600.15051,298,1
1081462132.15068,294726,1
1081462132.15068,159,1
1081716520.1507,2321,1
1081716520.1507,2546,1
1081716520.1507,346,1
1081716520.1507,37,1
1081716520.1507,47,1
1083577831.1485,12071,1
1083577831.1485,124,1
1083577831.1485,37273,1
1083577831.1485,37291,1
1083577831.1485,545,1
1083658821.15071,116,1
1083658821.15071,37304,1
1083979188.15069,114,1
1083979188.15069,134,1
1083979188.15069,137,1
1084844122.15066,1,1
1085205649.15071,40,1
1085205649.15071,9918,1
1085227421.1507,9247,1
1085275128.15049,45,1
1085275128.15049,703,1
1086389881.15021,136,1
1086389881.15021,2578,1
1087453590.15072,114,1
1087453590.15072,41,1
1087453590.15072,42,1
1087453590.15072,511,1
1087453590.15072,76,1
1087453590.15072,77,1
1087619097.15046,12075,1
1087619097.15046,368,1
1087836958.15028,44,1
1087836958.15028,124,1
1087836958.15028,153423,1
1087836958.15028,287491,1
1087836958.15028,512,1
1088393967.1507,70,1
108841831.150652,142,1
108841831.150652,239,1
108841831.150652,37,1
108841831.150652,91,1
1089023493.15066,114,1
1089743334.15012,137,1
1089743334.15012,41,1
1089743334.15012,42,1
1090004025.15069,42,1
1090889252.15071,41,1
1090889252.15071,42,1
1090891779.15071,41,1
1090891779.15071,2326,1
1091888144.1507,298,1
1091888144.1507,45,1
1091888144.1507,77,1
1091888144.1507,92,1
1092119542.15067,12590,1
1092119542.15067,2579,1
1093513614.15053,405,1
1095835305.15071,114,1
1095835305.15071,42,1
1096008292.15067,490,1
1097118639.15065,273,1
1097118639.15065,351,1
1097118639.15065,88,1
109731326.150713,4034,1
109731326.150713,12046,1
109731326.150713,2230,1
109731326.150713,44,1
109731326.150713,515,1
109731326.150713,5785,1
1097334514.15066,39,1
1097334514.15066,490,1
1097446105.1507,18463,1
1097446105.1507,4500,1
1098258174.15071,6409,1
1098403172.1507,114,1
1098403172.1507,42,1
1098546075.15068,6100,1
1098546075.15068,114,1
1098546075.15068,45,1
1099266961.15072,25300,1
1099470979.1507,114,1
1099470979.1507,525,1
1100251299.15066,2326,1
1100251299.15066,295,1
1101103127.15065,39,1
1101103127.15065,95,1
1101484436.15066,42,1
1101484436.15066,515,1
1101867218.15071,114,1
1101867218.15071,2326,1
1101867218.15071,351,1
1101867218.15071,42,1
1101867218.15071,77,1
1101996942.14973,165,1
1101996942.14973,351,1
1101996942.14973,42,1
1102339102.15071,161869,1
1102339102.15071,254375,1
1102339102.15071,281208,1
1102521434.15067,137,1
1102656622.15066,227,1
1102656622.15066,273,1
1102969278.15069,273,1
1102969278.15069,43,1
1103161031.15069,114,1
1103161031.15069,42,1
1103161031.15069,43,1
1103161031.15069,525,1
1103161031.15069,92,1
1105169554.15066,2244,1
1105169554.15066,241620,1
1105461236.15066,30,1
1105461236.15066,4412,1
110549305.150718,214589,1
110549305.150718,228,1
110549305.150718,42,1
1105826727.15027,41,1
1105826727.15027,58,1
1106014121.15065,154863,1
110618988.150705,37,1
110618988.150705,392,1
1106271090.15071,12175,1
1106271090.15071,77,1
110657783.150659,42,1
110657783.150659,2226,1
110657783.150659,539,1
1108031039.15069,134,1
1108761655.15067,273,1
1108761655.15067,475,1
1108803410.1503,234,1
1108803410.1503,44,1
1108803410.1503,60,1
1108803410.1503,66,1
1109854080.15071,142,1
1109854080.15071,167,1
1109854080.15071,70,1
1109929414.15068,114,1
1109929414.15068,116,1
1109929414.15068,124,1
1109929414.15068,12415,1
1109929414.15068,136,1
1109929414.15068,165,1
1109929414.15068,273,1
1109929414.15068,28,1
1109929414.15068,298,1
1109929414.15068,350,1
1109929414.15068,368,1
1109929414.15068,448,1
1109929414.15068,45,1
1109929414.15068,562,1
1109929414.15068,76,1
1109929414.15068,77,1
1109929414.15068,95,1
1110384970.15056,70,1
1110384970.15056,142,1
1111479205.15071,396,1
1111743544.15065,562,1
1113276341.1507,351,1
1113276341.1507,88,1
1113698949.15066,273,1
1113698949.15066,351,1
1113698949.15066,41,1
1114387996.14978,227,1
1114387996.14978,57,1
1114990712.15071,30,1
1115007205.15071,273,1
1115007205.15071,43,1
1115007205.15071,95,1
111740233.150652,146,1
111740233.150652,28,1
1117422638.15069,562,1
1117548561.1507,42,1
1117548561.1507,93,1
1118183645.15069,42,1
1118183645.15069,351,1
1119527258.15071,273,1
1119527258.15071,515,1
1119744212.15066,351,1
1119744212.15066,76,1
1120173721.15069,70,1
1120173721.15069,142,1
1120173721.15069,23801,1
1120173721.15069,298,1
1120173721.15069,95,1
1120196110.15068,70,1
1120196110.15068,42,1
112046816.150263,95,1
1121196348.15067,490,1
1121407881.15021,295328,1
1121407881.15021,3904,1
1121415022.15066,28,1
1121415022.15066,35,1
1121713154.15067,165,1
1121713154.15067,548,1
1123392027.15069,273,1
1123392027.15069,44,1
1123987644.1507,152583,1
1123987644.1507,241620,1
1125332468.15067,3381,1
1125332468.15067,351,1
1125332468.15067,42,1
1125332468.15067,67,1
112567384.150712,137,1
112567384.150712,41,1
112710477.150166,273,1
112710477.150166,456,1
1127554436.14804,167,1
1127933162.15071,114,1
1127933162.15071,2306,1
1129070354.1503,212,1
1129070354.1503,273,1
1129104906.15071,134,1
1129104906.15071,137,1
1129104906.15071,2228,1
1129119401.15069,9151,1
112957089.150305,169,1
112957089.150305,302899,1
1129672718.15073,134,1
1129672718.15073,44,1
112972400.150682,114,1
1131110570.1507,114,1
1131110570.1507,42,1
1131419899.15071,212,1
1131741256.15067,2326,1
1132265238.15069,114,1
1132265238.15069,93,1
1132326546.1507,2264,1
1133688705.15069,280586,1
1133688705.15069,296200,1
1133688705.15069,346,1
1133688705.15069,4394,1
1133718904.15071,162079,1
1133718904.15071,41,1
1133800539.1507,640,1
1133992643.15065,95,1
1133992643.15065,338892,1
1134129481.15069,2269,1
1134129481.15069,303,1
1134767136.15071,3377,1
1134767136.15071,2249,1
1135029523.14772,12408,1
1135029523.14772,207450,1
