user_id,comp_id,
1000099304.15053,159060,1
1000100269.15058,21897,1
1000283162.15055,10076,1
1000369228.15065,1,1
1000482787.15039,154960,1
10007308.1505114,6139,1
100101572.150031,4895,1
100109416.149908,4018,1
1001118563.1505,215053,1
1001336258.15049,9628,1
1001382793.15065,2333,1
1001391843.15047,6166,1
1001393646.15037,162212,1
1001527787.15042,351,1
1001760796.15039,244986,1
1001770164.15065,291088,1
1001779145.15035,36989,1
1001926229.14992,12020,1
1001986584.15058,166320,1
1001988068.1504,8918,1
1002069169.15049,20330,1
1002185515.1506,164149,1
1002297562.15052,18869,1
1002448350.1504,8690,1
1002527129.15058,9557,1
1003003651.15052,29685,1
1003036779.15066,273,1
1003184562.15055,114,1
100321374.150523,9672,1
1003267355.15053,223614,1
1003413713.15057,20393,1
1003426728.15057,9201,1
100349417.150658,42,1
1003503300.15041,153,1
1003599506.15058,2276,1
100362795.150582,15170,1
100363914.15054,181133,1
1003640520.15065,114,1
1003766093.15049,21534,1
1003806907.15061,91,1
1003820648.14703,178905,1
100393173.150546,200702,1
1004706999.15064,198901,1
1004833166.15048,32206,1
1004977809.15066,2518,1
1005107780.15041,12391,1
1005153061.15048,18005,1
1005253152.15065,180717,1
1005284756.15064,43,1
1005410374.15065,298,1
1005619640.15054,299343,1
1005673564.15057,4513,1
100573943.150653,91,1
1005755929.15066,200,1
1005826436.15047,197370,1
1006063922.15048,2543,1
1006131224.15037,29717,1
1006182201.15046,162212,1
1006370717.14987,12034,1
1006399601.15042,284537,1
1006850926.15016,29685,1
1006897448.15043,5405,2
1007016709.15042,28878,1
1007149472.15063,25977,1
1007221589.15063,12663,1
1007238795.14997,9050,1
1007405328.15046,21897,1
1007411989.15055,299343,1
1007445443.14982,5241,1
100748786.150653,274,1
100752823.15048,280149,1
1007613423.15063,299343,1
1007738098.15044,290891,1
1007745988.15053,2498,1
1007933346.15054,282160,1
1007989282.15034,288712,1
1008034872.15063,370,1
1008918094.15038,70,1
100895314.150658,43,1
1008979708.15049,391,1
100914715.150523,15990,1
1009333329.15027,284807,1
1009340149.15066,153582,1
1009489310.14996,583,1
1009607023.15053,391,1
1009624369.1505,4491,1
1009790617.15054,701,2
1009882359.15066,12071,1
1009882964.15047,4185,1
100988369.150643,181861,1
1009937022.15051,45,1
1009954825.15044,158438,1
1010152278.15043,5191,1
101018865.150522,70,1
1010314999.15044,15199,3
1010540690.15043,10431,1
1010699040.15039,296725,1
1010725610.15,6405,1
1011023904.1503,6408,1
1011279232.15065,180,1
1011474262.15044,292162,1
1011615908.15066,354,2
101166739.150586,12505,1
1011672987.15051,24340,1
